timestamp,endpoint,method,user_agent,ip_address,response_status,response_time_ms
2025-11-14T12:56:42.240504,/openapi.json,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,13
2025-11-14T12:56:49.823937,/,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,1
2025-11-14T12:56:56.558234,/,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,1
2025-11-14T12:57:12.822247,/docs,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,0
2025-11-14T12:57:12.971037,/openapi.json,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,0
2025-11-14T12:57:18.483249,/,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,0
2025-11-14T12:58:25.515742,/,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,0
2025-11-14T12:58:56.693107,/api/v1/generate-api-key,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T12:58:57.415796,/api/v1/generate-api-key,POST,curl/8.7.1,127.0.0.1,200,0
2025-11-14T12:59:06.124059,/openapi.json,GET,curl/8.7.1,127.0.0.1,200,8
2025-11-14T12:59:56.477377,/api/v1/generate-api-key,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,1
2025-11-14T13:00:01.966636,/api/v1/generate-api-key,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,1
2025-11-14T13:01:46.255638,/api/v1/generate-api-key,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T13:01:46.978888,/,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T13:01:57.343493,/api/v1/generate-api-key,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,127.0.0.1,200,0
2025-11-14T13:01:58.075335,/,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,127.0.0.1,200,0
2025-11-14T13:02:23.192774,/api/v1/generate-api-key,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,1
2025-11-14T13:02:28.408912,/,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,1
2025-11-14T13:03:44.731995,/,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T13:03:45.597681,/favicon.ico,GET,curl/8.7.1,127.0.0.1,204,0
2025-11-14T13:03:46.332717,/api/v1/generate-api-key,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T13:03:55.151371,/,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T13:03:55.159122,/favicon.ico,GET,curl/8.7.1,127.0.0.1,204,0
2025-11-14T13:04:25.849633,/,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,1
2025-11-14T13:04:25.894991,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T13:04:36.311349,/api/v1/generate-api-key,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,2
2025-11-14T13:04:36.385410,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T13:04:56.552387,/docs,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,0
2025-11-14T13:04:56.659592,/openapi.json,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,13
2025-11-14T13:05:01.080599,/health,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,0
2025-11-14T13:05:19.071051,/api/v1/generate-api-key,POST,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,1
2025-11-14T13:05:21.933365,/api/v1/generate-api-key,POST,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,0
2025-11-14T13:05:35.570358,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,1
2025-11-14T13:05:39.654582,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
